[ OK ] Successfully loaded boot info at addr: 0x28c218
[ OK ] Kernel Init Done, Entered Rust 64-Bit Mode
[ OK ] Identified kernel at start: 0x100000 end: 0x28c218
[ OK ] Identified multiboot info at start: 0x28c218 end: 0x28c930
[ OK ] Memory end: 0x100000000
Mapping slot number 0, address: 0x6BCF00000000, to frame number: 654, physaddr: 0x28E000
Mapping slot number 1, address: 0x6BCF00001000, to frame number: 655, physaddr: 0x28F000
Mapping slot number 2, address: 0x6BCF00002000, to frame number: 656, physaddr: 0x290000
Mapping slot number 3, address: 0x6BCF00003000, to frame number: 657, physaddr: 0x291000
Mapping slot number 4, address: 0x6BCF00004000, to frame number: 658, physaddr: 0x292000
Mapping slot number 5, address: 0x6BCF00005000, to frame number: 659, physaddr: 0x293000
Mapping slot number 6, address: 0x6BCF00006000, to frame number: 660, physaddr: 0x294000
Mapping slot number 7, address: 0x6BCF00007000, to frame number: 661, physaddr: 0x295000
Mapping slot number 8, address: 0x6BCF00008000, to frame number: 662, physaddr: 0x296000
Mapping slot number 9, address: 0x6BCF00009000, to frame number: 663, physaddr: 0x297000
Mapping slot number 10, address: 0x6BCF0000A000, to frame number: 664, physaddr: 0x298000
Mapping slot number 11, address: 0x6BCF0000B000, to frame number: 665, physaddr: 0x299000
Mapping slot number 12, address: 0x6BCF0000C000, to frame number: 666, physaddr: 0x29A000
Mapping slot number 13, address: 0x6BCF0000D000, to frame number: 667, physaddr: 0x29B000
Mapping slot number 14, address: 0x6BCF0000E000, to frame number: 668, physaddr: 0x29C000
Mapping slot number 15, address: 0x6BCF0000F000, to frame number: 669, physaddr: 0x29D000
Mapping slot number 16, address: 0x6BCF00010000, to frame number: 670, physaddr: 0x29E000
Mapping slot number 17, address: 0x6BCF00011000, to frame number: 671, physaddr: 0x29F000
Mapping slot number 18, address: 0x6BCF00012000, to frame number: 672, physaddr: 0x2A0000
Mapping slot number 19, address: 0x6BCF00013000, to frame number: 673, physaddr: 0x2A1000
Mapping slot number 20, address: 0x6BCF00014000, to frame number: 674, physaddr: 0x2A2000
Mapping slot number 21, address: 0x6BCF00015000, to frame number: 675, physaddr: 0x2A3000
Mapping slot number 22, address: 0x6BCF00016000, to frame number: 676, physaddr: 0x2A4000
Mapping slot number 23, address: 0x6BCF00017000, to frame number: 677, physaddr: 0x2A5000
Mapping slot number 24, address: 0x6BCF00018000, to frame number: 678, physaddr: 0x2A6000
Mapping slot number 25, address: 0x6BCF00019000, to frame number: 679, physaddr: 0x2A7000
Mapping slot number 26, address: 0x6BCF0001A000, to frame number: 680, physaddr: 0x2A8000
Mapping slot number 27, address: 0x6BCF0001B000, to frame number: 681, physaddr: 0x2A9000
Mapping slot number 28, address: 0x6BCF0001C000, to frame number: 682, physaddr: 0x2AA000
Mapping slot number 29, address: 0x6BCF0001D000, to frame number: 683, physaddr: 0x2AB000
Mapping slot number 30, address: 0x6BCF0001E000, to frame number: 684, physaddr: 0x2AC000
Mapping slot number 31, address: 0x6BCF0001F000, to frame number: 685, physaddr: 0x2AD000
Mapping slot number 32, address: 0x6BCF00020000, to frame number: 686, physaddr: 0x2AE000
Mapping slot number 33, address: 0x6BCF00021000, to frame number: 687, physaddr: 0x2AF000
Mapping slot number 34, address: 0x6BCF00022000, to frame number: 688, physaddr: 0x2B0000
Mapping slot number 35, address: 0x6BCF00023000, to frame number: 689, physaddr: 0x2B1000
Mapping slot number 36, address: 0x6BCF00024000, to frame number: 690, physaddr: 0x2B2000
Mapping slot number 37, address: 0x6BCF00025000, to frame number: 691, physaddr: 0x2B3000
Mapping slot number 38, address: 0x6BCF00026000, to frame number: 692, physaddr: 0x2B4000
Mapping slot number 39, address: 0x6BCF00027000, to frame number: 693, physaddr: 0x2B5000
Mapping slot number 40, address: 0x6BCF00028000, to frame number: 694, physaddr: 0x2B6000
Mapping slot number 41, address: 0x6BCF00029000, to frame number: 695, physaddr: 0x2B7000
Mapping slot number 42, address: 0x6BCF0002A000, to frame number: 696, physaddr: 0x2B8000
Mapping slot number 43, address: 0x6BCF0002B000, to frame number: 697, physaddr: 0x2B9000
Mapping slot number 44, address: 0x6BCF0002C000, to frame number: 698, physaddr: 0x2BA000
Mapping slot number 45, address: 0x6BCF0002D000, to frame number: 699, physaddr: 0x2BB000
Mapping slot number 46, address: 0x6BCF0002E000, to frame number: 700, physaddr: 0x2BC000
Mapping slot number 47, address: 0x6BCF0002F000, to frame number: 701, physaddr: 0x2BD000
Mapping slot number 48, address: 0x6BCF00030000, to frame number: 702, physaddr: 0x2BE000
Mapping slot number 49, address: 0x6BCF00031000, to frame number: 703, physaddr: 0x2BF000
Mapping slot number 50, address: 0x6BCF00032000, to frame number: 704, physaddr: 0x2C0000
Mapping slot number 51, address: 0x6BCF00033000, to frame number: 705, physaddr: 0x2C1000
Mapping slot number 52, address: 0x6BCF00034000, to frame number: 706, physaddr: 0x2C2000
Mapping slot number 53, address: 0x6BCF00035000, to frame number: 707, physaddr: 0x2C3000
